listPrice,sqft,stories,beds,baths,baths_full,baths_full_calc,garage,year_built,type_condos,type_farm,type_multi_family,type_single_family,type_townhome
12.765405536311112,1593.0,1.0,2.0,2.0,2.0,2.0,1.0,1980.0,1.0,0.0,0.0,0.0,0.0
11.736077016252437,576.0,1.0,2.0,1.0,1.0,1.0,,2025.0,0.0,0.0,0.0,1.0,0.0
13.100119813444692,1839.0,2.0,2.0,2.0,2.0,2.0,4.0,2001.0,0.0,0.0,0.0,1.0,0.0
12.896719202134523,1604.0,1.0,3.0,2.0,2.0,2.0,2.0,1964.0,0.0,0.0,0.0,1.0,0.0
13.42246945133505,2150.0,2.0,4.0,2.0,2.0,2.0,3.0,2002.0,0.0,0.0,0.0,1.0,0.0
13.652875151095039,1896.0,2.0,3.0,2.0,2.0,2.0,2.0,1990.0,0.0,0.0,0.0,1.0,0.0
12.524166311833152,1680.0,1.0,3.0,2.0,1.0,1.0,,1973.0,0.0,0.0,0.0,1.0,0.0
13.639967177343745,2065.0,2.0,4.0,3.0,2.0,2.0,2.0,2012.0,0.0,0.0,0.0,1.0,0.0
12.34148164933907,960.0,1.0,2.0,1.0,1.0,1.0,,1960.0,0.0,0.0,0.0,1.0,0.0
12.20582761551277,922.0,1.0,2.0,1.0,1.0,1.0,,1915.0,1.0,0.0,0.0,0.0,0.0
13.171155446333852,2486.0,2.0,3.0,2.0,2.0,2.0,,1972.0,0.0,0.0,0.0,1.0,0.0
12.425212191503038,768.0,1.0,1.0,1.0,1.0,1.0,,1997.0,0.0,0.0,0.0,1.0,0.0
12.762830066509972,1752.0,1.0,3.0,2.0,2.0,2.0,,1962.0,0.0,0.0,0.0,1.0,0.0
12.611207699176356,1506.0,2.0,2.0,1.0,1.0,1.0,,1945.0,0.0,0.0,0.0,1.0,0.0
12.042971193457888,1850.0,2.0,3.0,2.0,1.0,1.0,,1963.0,0.0,0.0,0.0,1.0,0.0
13.060277313201007,1782.0,2.0,3.0,2.0,2.0,2.0,2.0,1999.0,0.0,0.0,0.0,1.0,0.0
13.07086164024146,1507.0,1.0,3.0,2.0,2.0,2.0,1.0,1985.0,0.0,0.0,0.0,1.0,0.0
12.970844896965405,1206.0,1.0,3.0,2.0,2.0,2.0,2.0,1973.0,0.0,0.0,0.0,1.0,0.0
12.793862088206213,780.0,1.0,2.0,1.0,1.0,1.0,1.0,2007.0,0.0,0.0,0.0,1.0,0.0
12.608202196848836,1256.0,1.0,3.0,1.0,1.0,1.0,2.0,1956.0,0.0,0.0,0.0,1.0,0.0
13.36844346372147,2058.0,1.0,5.0,3.0,3.0,3.0,,1978.0,0.0,0.0,1.0,0.0,0.0
12.334909912967877,1611.0,2.0,4.0,2.0,2.0,2.0,2.0,1978.0,1.0,0.0,0.0,0.0,0.0
13.384729180332174,2362.0,2.0,4.0,2.0,2.0,2.0,2.0,2006.0,0.0,0.0,0.0,1.0,0.0
12.820990681250251,1338.0,1.0,3.0,2.0,1.0,1.0,2.0,1958.0,0.0,0.0,0.0,1.0,0.0
13.120363378739663,2629.0,2.0,3.0,2.0,2.0,2.0,2.0,1962.0,0.0,0.0,0.0,1.0,0.0
13.251637470576167,1620.0,1.0,3.0,2.0,2.0,2.0,2.0,2004.0,0.0,0.0,0.0,1.0,0.0
12.560247968016562,700.0,1.0,2.0,1.0,1.0,1.0,,2025.0,0.0,0.0,0.0,1.0,0.0
13.304519920584285,2027.0,1.0,3.0,3.0,3.0,3.0,1.0,1960.0,0.0,0.0,0.0,1.0,0.0
10.584081267024454,1896.0,2.0,2.0,3.0,2.0,2.0,1.0,1998.0,0.0,0.0,0.0,1.0,0.0
12.807655372286902,768.0,1.0,2.0,1.0,1.0,1.0,1.0,1910.0,0.0,0.0,0.0,1.0,0.0
13.658857917508856,1842.0,1.0,3.0,2.0,2.0,2.0,2.0,2006.0,0.0,0.0,0.0,1.0,0.0
13.151924121391561,1924.0,3.0,4.0,3.0,3.0,3.0,2.0,1969.0,0.0,0.0,0.0,1.0,0.0
13.097513152393772,1163.0,1.0,3.0,1.0,1.0,1.0,,1940.0,0.0,0.0,0.0,1.0,0.0
13.26212705890841,1930.0,2.0,2.0,1.0,1.0,1.0,,1983.0,0.0,0.0,0.0,1.0,0.0
13.296318365198623,2912.0,2.0,4.0,2.0,2.0,2.0,2.0,1971.0,0.0,0.0,0.0,1.0,0.0
13.302183474822545,1860.0,2.0,3.0,2.0,2.0,2.0,2.0,2000.0,0.0,0.0,0.0,1.0,0.0
12.206077645517674,760.0,1.0,1.0,1.0,1.0,1.0,,1974.0,0.0,0.0,0.0,1.0,0.0
13.304686600863562,1651.0,2.0,3.0,2.0,2.0,2.0,1.0,1940.0,0.0,0.0,0.0,1.0,0.0
13.335862167174314,2735.0,2.0,4.0,3.0,2.0,2.0,2.0,1961.0,0.0,0.0,0.0,1.0,0.0
13.235693848424024,2205.0,2.0,3.0,2.0,2.0,2.0,2.0,1976.0,0.0,0.0,0.0,1.0,0.0
14.077874822431765,3221.0,2.0,4.0,4.0,4.0,4.0,3.0,1995.0,0.0,0.0,0.0,1.0,0.0
13.887832149776026,4058.0,2.0,4.0,4.0,3.0,3.0,2.0,1985.0,0.0,0.0,0.0,1.0,0.0
14.115615891155079,2853.0,2.0,4.0,3.0,2.0,2.0,3.0,2012.0,0.0,0.0,0.0,1.0,0.0
13.804450621726684,2170.0,2.0,3.0,3.0,2.0,2.0,2.0,2015.0,0.0,0.0,0.0,1.0,0.0
11.04493580632355,1044.0,1.0,2.0,1.0,1.0,1.0,,1920.0,0.0,0.0,0.0,1.0,0.0
13.81049902116535,4731.0,2.0,8.0,4.0,4.0,4.0,2.0,1999.0,0.0,0.0,0.0,1.0,0.0
13.910821646859095,2433.0,1.0,3.0,3.0,3.0,3.0,2.0,1993.0,0.0,0.0,0.0,1.0,0.0
13.118357364036902,1950.0,1.0,3.0,2.0,2.0,2.0,2.0,2023.0,0.0,0.0,0.0,1.0,0.0
13.122365377402328,3102.0,3.0,4.0,2.0,2.0,2.0,1.0,1928.0,0.0,0.0,0.0,1.0,0.0
13.330191849300695,2502.0,1.0,3.0,3.0,3.0,3.0,2.0,1972.0,0.0,0.0,0.0,1.0,0.0
12.524530013005734,2452.0,1.0,4.0,3.0,3.0,3.0,,1950.0,0.0,0.0,0.0,1.0,0.0
12.914110901635024,1606.0,1.0,2.0,2.0,2.0,2.0,2.0,2003.0,0.0,0.0,0.0,1.0,0.0
13.527829818844937,3360.0,2.0,4.0,2.0,2.0,2.0,2.0,1988.0,0.0,0.0,0.0,1.0,0.0
12.89897229545694,1256.0,1.0,3.0,2.0,2.0,2.0,2.0,1978.0,0.0,0.0,0.0,1.0,0.0
12.425212191503038,1075.0,1.0,1.0,1.0,1.0,1.0,2.0,1947.0,0.0,0.0,0.0,1.0,0.0
13.710040036256004,2334.0,2.0,3.0,2.0,2.0,2.0,4.0,1978.0,0.0,0.0,0.0,1.0,0.0
13.251637470576167,2698.0,3.0,3.0,2.0,2.0,2.0,,1977.0,0.0,0.0,0.0,1.0,0.0
13.07107218827772,2263.0,2.0,3.0,3.0,2.0,2.0,2.0,2021.0,0.0,0.0,0.0,1.0,0.0
13.217675375388819,2036.0,1.0,3.0,2.0,2.0,2.0,2.0,1991.0,0.0,0.0,0.0,1.0,0.0
12.871337193291367,1796.0,1.0,3.0,2.0,2.0,2.0,2.0,1972.0,0.0,0.0,0.0,1.0,0.0
13.651815643149092,4645.0,2.0,3.0,3.0,2.0,2.0,2.0,1989.0,0.0,0.0,0.0,1.0,0.0
13.112315061750808,1759.0,1.0,3.0,2.0,2.0,2.0,2.0,2005.0,0.0,0.0,0.0,1.0,0.0
12.959846800844963,1454.0,1.0,3.0,2.0,2.0,2.0,2.0,1996.0,0.0,0.0,0.0,1.0,0.0
11.511934974596555,761.0,1.0,1.0,1.0,1.0,1.0,,1911.0,1.0,0.0,0.0,0.0,0.0
13.457407451830088,2744.0,2.0,3.0,2.0,2.0,2.0,2.0,1964.0,0.0,0.0,0.0,1.0,0.0
13.629182184591333,2751.0,2.0,4.0,3.0,3.0,3.0,2.0,2006.0,0.0,0.0,0.0,1.0,0.0
13.49254805258237,2636.0,2.0,3.0,1.0,1.0,1.0,1.0,1928.0,0.0,0.0,0.0,1.0,0.0
13.521140839642674,4329.0,3.0,3.0,3.0,3.0,3.0,2.0,2000.0,0.0,0.0,0.0,1.0,0.0
13.178745601197818,1457.0,1.0,3.0,2.0,2.0,2.0,2.0,2020.0,0.0,0.0,0.0,1.0,0.0
11.735276702486741,552.0,1.0,1.0,1.0,1.0,1.0,,1960.0,0.0,0.0,0.0,1.0,0.0
13.12216535779974,1655.0,2.0,2.0,2.0,2.0,2.0,,1978.0,0.0,0.0,0.0,1.0,0.0
13.081543466215237,2160.0,2.0,3.0,3.0,3.0,3.0,,2002.0,0.0,0.0,0.0,1.0,0.0
13.014780393893403,1356.0,1.0,2.0,2.0,2.0,2.0,2.0,2008.0,0.0,0.0,0.0,1.0,0.0
13.058360179622305,1180.0,2.0,2.0,2.0,2.0,2.0,,1922.0,0.0,0.0,0.0,1.0,0.0
13.279368835614243,2456.0,3.0,3.0,2.0,2.0,2.0,,1922.0,0.0,0.0,0.0,1.0,0.0
13.623139877437296,2078.0,2.0,4.0,3.0,3.0,3.0,2.0,2006.0,0.0,0.0,0.0,1.0,0.0
12.425212191503038,1306.0,1.0,2.0,2.0,2.0,2.0,2.0,1999.0,0.0,0.0,0.0,1.0,0.0
12.802023117909632,2816.0,2.0,3.0,3.0,3.0,3.0,2.0,1984.0,0.0,0.0,0.0,1.0,0.0
12.425212191503038,1144.0,2.0,3.0,2.0,2.0,2.0,,2001.0,0.0,0.0,0.0,1.0,0.0
14.508657738524219,3016.0,1.0,3.0,4.0,4.0,4.0,,1968.0,0.0,1.0,0.0,0.0,0.0
11.694421681264394,1172.0,1.0,2.0,1.0,1.0,1.0,2.0,1900.0,0.0,0.0,0.0,1.0,0.0
14.626441218624949,7255.0,2.0,4.0,5.0,3.0,3.0,4.0,1999.0,0.0,0.0,0.0,1.0,0.0
12.691583538230217,1048.0,1.0,2.0,1.0,1.0,1.0,2.0,1973.0,0.0,0.0,0.0,1.0,0.0
13.140205260167273,1456.0,2.0,2.0,3.0,3.0,3.0,1.0,2007.0,0.0,0.0,0.0,1.0,0.0
12.138334343884129,778.0,2.0,2.0,1.0,1.0,1.0,,1965.0,0.0,0.0,0.0,1.0,0.0
12.703816069256568,548.0,1.0,1.0,1.0,1.0,1.0,,1992.0,1.0,0.0,0.0,0.0,0.0
12.608202196848836,1406.0,1.0,2.0,2.0,2.0,2.0,,2007.0,0.0,0.0,0.0,1.0,0.0
12.672949516558306,1560.0,2.0,3.0,1.0,1.0,1.0,,1860.0,0.0,0.0,0.0,1.0,0.0
13.560490558240303,1964.0,1.0,3.0,2.0,2.0,2.0,2.0,1995.0,0.0,0.0,0.0,1.0,0.0
13.500664187489477,1925.0,1.0,3.0,2.0,2.0,2.0,2.0,2003.0,0.0,0.0,0.0,1.0,0.0
13.560619598657233,1781.0,1.0,3.0,2.0,2.0,2.0,2.0,1998.0,0.0,0.0,0.0,1.0,0.0
12.201065128819632,1204.0,1.0,1.0,1.0,1.0,1.0,,1947.0,0.0,0.0,0.0,1.0,0.0
13.407543823396258,1836.0,1.0,3.0,3.0,2.0,2.0,2.0,1999.0,0.0,0.0,0.0,1.0,0.0
12.899222326086994,2404.0,1.0,4.0,3.0,3.0,3.0,2.0,1971.0,0.0,0.0,0.0,1.0,0.0
13.101958608857487,2409.0,2.0,4.0,3.0,3.0,3.0,2.0,1980.0,0.0,0.0,0.0,1.0,0.0
12.429220196836383,1152.0,1.0,1.0,1.0,1.0,1.0,,1938.0,0.0,0.0,1.0,0.0,0.0
12.691583538230217,1820.0,1.0,3.0,2.0,2.0,2.0,1.0,1970.0,0.0,0.0,0.0,1.0,0.0
12.834683971615659,1184.0,1.0,3.0,2.0,2.0,2.0,2.0,1986.0,0.0,0.0,0.0,1.0,0.0
13.384729180332174,2600.0,2.0,4.0,4.0,3.0,3.0,,1988.0,0.0,0.0,0.0,1.0,0.0
12.513561021741964,952.0,1.0,2.0,1.0,1.0,1.0,1.0,1979.0,0.0,0.0,0.0,1.0,0.0
12.871337193291367,980.0,2.0,3.0,1.0,1.0,1.0,1.0,1940.0,0.0,0.0,0.0,1.0,0.0
10.463131911491967,1120.0,1.0,2.0,1.0,1.0,1.0,1.0,1946.0,0.0,0.0,0.0,1.0,0.0
13.038766527911386,2546.0,2.0,6.0,2.0,2.0,2.0,,1953.0,0.0,0.0,0.0,1.0,0.0
13.560619598657233,4020.0,2.0,4.0,3.0,3.0,3.0,2.0,2006.0,0.0,0.0,0.0,1.0,0.0
13.171155446333852,1692.0,3.0,3.0,3.0,3.0,3.0,2.0,2021.0,0.0,0.0,0.0,0.0,1.0
13.840204146163925,3676.0,2.0,4.0,4.0,3.0,3.0,3.0,1995.0,0.0,0.0,0.0,1.0,0.0
13.592243248992402,1858.0,2.0,4.0,2.0,2.0,2.0,,1985.0,0.0,0.0,0.0,1.0,0.0
